Size,Seq,Par,Libc
1, 0.000000, 0.000046, 0.000000
1, 0.000000, 0.000042, 0.000000
1, 0.000000, 0.000037, 0.000000
1, 0.000000, 0.000044, 0.000000
1, 0.000000, 0.000040, 0.000000
1, 0.000000, 0.000039, 0.000000
2, 0.000000, 0.000080, 0.000000
2, 0.000000, 0.000072, 0.000000
2, 0.000000, 0.000070, 0.000000
2, 0.000000, 0.000053, 0.000000
2, 0.000001, 0.000088, 0.000000
2, 0.000000, 0.000087, 0.000000
2, 0.000000, 0.000073, 0.000000
2, 0.000000, 0.000085, 0.000000
2, 0.000001, 0.000066, 0.000000
2, 0.000000, 0.000081, 0.000000
3, 0.000000, 0.000095, 0.000000
3, 0.000001, 0.000094, 0.000000
3, 0.000000, 0.000099, 0.000000
3, 0.000001, 0.000089, 0.000001
3, 0.000000, 0.000086, 0.000000
3, 0.000001, 0.000089, 0.000000
3, 0.000001, 0.000087, 0.000000
3, 0.000000, 0.000081, 0.000000
3, 0.000000, 0.000091, 0.000000
3, 0.000000, 0.000086, 0.000000
4, 0.000001, 0.000105, 0.000000
4, 0.000000, 0.000100, 0.000001
4, 0.000000, 0.000110, 0.000000
4, 0.000000, 0.000109, 0.000000
4, 0.000001, 0.000091, 0.000000
4, 0.000000, 0.000102, 0.000000
4, 0.000000, 0.000091, 0.000000
4, 0.000000, 0.000089, 0.000000
4, 0.000000, 0.000081, 0.000000
4, 0.000000, 0.000091, 0.000000
5, 0.000000, 0.000094, 0.000000
5, 0.000000, 0.000095, 0.000000
5, 0.000001, 0.000100, 0.000000
5, 0.000000, 0.000103, 0.000000
5, 0.000000, 0.000099, 0.000000
5, 0.000000, 0.000103, 0.000001
5, 0.000001, 0.000110, 0.000000
5, 0.000000, 0.000102, 0.000001
5, 0.000000, 0.000101, 0.000000
5, 0.000000, 0.000109, 0.000000
6, 0.000000, 0.000100, 0.000000
6, 0.000000, 0.000108, 0.000000
6, 0.000000, 0.000111, 0.000000
6, 0.000000, 0.000101, 0.000000
6, 0.000000, 0.000108, 0.000000
6, 0.000001, 0.000114, 0.000000
6, 0.000000, 0.000096, 0.000000
6, 0.000001, 0.000110, 0.000000
6, 0.000001, 0.000097, 0.000000
6, 0.000000, 0.000096, 0.000000
7, 0.000000, 0.000132, 0.000000
7, 0.000000, 0.000123, 0.000000
7, 0.000000, 0.000132, 0.000000
7, 0.000001, 0.000114, 0.000000
7, 0.000001, 0.000110, 0.000000
7, 0.000000, 0.000122, 0.000000
7, 0.000000, 0.000110, 0.000000
7, 0.000001, 0.000108, 0.000000
7, 0.000000, 0.000114, 0.000000
7, 0.000001, 0.000110, 0.000000
8, 0.000001, 0.000141, 0.000001
8, 0.000001, 0.000141, 0.000000
8, 0.000001, 0.000153, 0.000001
8, 0.000000, 0.000156, 0.000001
8, 0.000001, 0.000162, 0.000000
8, 0.000001, 0.000149, 0.000000
8, 0.000001, 0.000148, 0.000000
8, 0.000001, 0.000149, 0.000000
8, 0.000001, 0.000153, 0.000001
8, 0.000001, 0.000134, 0.000000
9, 0.000000, 0.000185, 0.000000
9, 0.000000, 0.000175, 0.000000
9, 0.000001, 0.000180, 0.000001
